id,title,artist,genre,subgenre,similar_genres,mood,secondary_moods,themes,tags,best_for,main_instruments,vocals,description,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,synth pop,"dance pop,electropop,contemporary pop",happy,"energetic,uplifting","new beginnings,city life,summer","sunrise,urban,driving,morning","commuting,road trips,morning workouts","synth,bass,drums","female","An upbeat synth-pop anthem with bright melodies and energetic rhythms that captures the excitement of a new day in the city.",0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chillhop,"downtempo,jazzhop,study beats",chill,"focused,calm","productivity,late nights","coding,rain,desk,focus","studying,coding,reading","electric piano,vinyl crackle,soft drums","instrumental","A mellow lo-fi beat with warm textures and soft percussion designed to help maintain focus during late-night work sessions.",0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,hard rock,"alternative rock,arena rock",intense,"powerful,determined","perseverance,adventure","storm,action,running","gym,running,motivation","electric guitar,bass,drums","male","Heavy guitars and driving drums create an adrenaline-filled rock track built for overcoming challenges.",0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,ambient lofi,"chillhop,downtempo,study beats",chill,"peaceful,focused","reflection,quiet moments","rain,library,books","studying,reading,relaxing","piano,vinyl crackle,soft pads","instrumental","Gentle piano melodies blend with rain ambience to create a peaceful atmosphere perfect for concentration.",0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,dance pop,"electropop,EDM pop,synth pop",intense,"motivated,confident","fitness,achievement","workout,energy,motivation","gym,training,running","synth,bass,electronic drums","male","An energetic dance-pop track with powerful beats that keeps momentum high throughout any workout.",0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,space ambient,"drone,new age,cinematic",chill,"dreamy,peaceful","space,exploration","stars,galaxy,meditation","sleeping,meditation,relaxing","pads,synth,strings","instrumental","Slow evolving ambient textures evoke the feeling of drifting through deep space.",0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,smooth jazz,"lounge,blues,swing",relaxed,"warm,peaceful","conversation,everyday life","coffee,cafe,friends","cafes,reading,dinner","saxophone,piano,upright bass","instrumental","Smooth jazz with warm saxophone melodies that recreate the atmosphere of a cozy neighborhood café.",0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,retrowave,"dreamwave,outrun,electronic",moody,"nostalgic,confident","nightlife,freedom","city lights,highway,neon","driving,late night","analog synth,bass machine,drum machine","instrumental","Retro synthwave rhythms and glowing electronic textures make this ideal for nighttime drives.",0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,study lofi,"chillhop,jazzhop,downtempo",focused,"calm,productive","deep work,concentration","minimal,rain,workspace","coding,studying,writing","electric piano,soft drums,bass","instrumental","Minimal lo-fi beats designed to reduce distractions and encourage sustained concentration.",0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,dream pop,"bedroom pop,alternative pop,indie rock",happy,"hopeful,carefree","friendship,city nights","rooftop,skyline,summer","parties,sunset","guitar,synth,drums","female","A vibrant indie-pop song celebrating unforgettable nights shared with close friends.",0.76,124,0.81,0.82,0.35
11,Ocean Memories,Aqua Horizon,folk,indie folk,"Americana,acoustic,singer-songwriter",peaceful,"nostalgic,warm","nature,memories","ocean,beach,waves","relaxing,reflection","acoustic guitar,strings","female","Gentle acoustic folk inspired by quiet memories beside the sea.",0.32,76,0.68,0.45,0.91
12,Neon Dreams,Pixel Mirage,electronic,future bass,"EDM,electro,house",excited,"energetic,euphoric","celebration,dreams","festival,lights,night","parties,dancing","synth,bass,electronic drums","female","Bright electronic production with soaring melodies and energetic drops built for the dance floor.",0.88,128,0.74,0.86,0.12
13,Golden Hour,Willow Skies,folk pop,acoustic pop,"indie folk,contemporary folk",nostalgic,"warm,hopeful","love,sunset","golden hour,nature","relaxing,road trips","acoustic guitar,piano","female","Soft acoustic pop celebrating meaningful moments during the final light of the day.",0.51,96,0.72,0.63,0.75
14,Shadow Letters,Velvet Theory,rnb,alternative R&B,"neo soul,soul,contemporary R&B",sad,"reflective,emotional","heartbreak,self-discovery","night,letters,rain","late-night listening","electric piano,bass,drums","male","A soulful R&B ballad exploring heartbreak and emotional healing through intimate vocals.",0.44,82,0.31,0.58,0.42
15,Desert Winds,Solar Nomad,world,world fusion,"folk,worldbeat,ethnic",adventurous,"free,curious","travel,culture","desert,journey,exploration","travel,road trips","hand percussion,flute,acoustic guitar","instrumental","World-inspired rhythms and melodies that evoke the feeling of exploring distant landscapes.",0.67,104,0.69,0.71,0.54
16,Crystal Waves,Lunar Arcade,electronic,synthwave,"EDM,electro,house",dramatic,"epic,energetic","technology,futurism","crystal,neon,digital","gaming,workouts","synth,bass,drum machine","instrumental","Powerful electronic production with cinematic synths and driving rhythms.",0.79,140,0.55,0.77,0.20
